iter	Passed	Remaining
0	148	14749
1	153	7526
2	157	5107
3	162	3890
4	166	3160
5	171	2679
6	176	2341
7	181	2084
8	185	1880
9	190	1712
10	195	1581
11	199	1464
12	204	1365
13	208	1282
14	213	1207
15	217	1142
16	221	1081
17	227	1034
18	231	985
19	235	940
20	239	900
21	244	865
22	248	832
23	252	800
24	257	773
25	263	748
26	267	722
27	271	697
28	276	675
29	280	654
30	284	632
31	289	614
32	293	595
33	297	577
34	301	560
35	306	544
36	310	528
37	314	513
38	320	500
39	324	486
40	328	473
41	333	460
42	339	449
43	343	437
44	348	425
45	353	414
46	358	404
47	363	393
48	368	383
49	372	372
50	377	362
51	381	352
52	386	342
53	391	333
54	395	323
55	401	315
56	405	306
57	409	296
58	414	288
59	418	279
60	422	270
61	426	261
62	431	253
63	435	244
64	439	236
65	443	228
66	448	220
67	452	212
68	456	204
69	460	197
70	465	190
71	469	182
72	474	175
73	479	168
74	483	161
75	487	153
76	491	146
77	496	140
78	500	133
79	504	126
80	509	119
81	514	113
82	519	106
83	523	99
84	527	93
85	532	86
86	536	80
87	542	73
88	546	67
89	551	61
90	556	55
91	561	48
92	565	42
93	570	36
94	576	30
95	580	24
96	584	18
97	590	12
98	595	6
99	600	0
