iter	MultiClass
0	2.473227345
1	2.462887466
2	2.451749457
3	2.442311846
4	2.432664904
5	2.422720464
6	2.412607087
7	2.403130804
8	2.393809405
9	2.385642619
10	2.377790619
11	2.370036747
12	2.362528171
13	2.353742353
14	2.345469146
15	2.337246311
16	2.330394027
17	2.322526364
18	2.31593726
19	2.308498544
20	2.301183038
21	2.294215083
22	2.288111282
23	2.282072241
24	2.276233455
25	2.269554277
26	2.262766009
27	2.25608793
28	2.250208583
29	2.244904319
30	2.238641622
31	2.232508808
32	2.226620295
33	2.220783014
34	2.214981233
35	2.210060825
36	2.205389718
37	2.19994811
38	2.194811211
39	2.189452454
40	2.184541784
41	2.179405463
42	2.174319648
43	2.170210393
44	2.166253594
45	2.161494524
46	2.157566084
47	2.153721835
48	2.150018732
49	2.146113296
50	2.142340659
51	2.138751715
52	2.134387476
53	2.130177671
54	2.125930202
55	2.122053621
56	2.118122988
57	2.114391199
58	2.11025739
59	2.106642984
60	2.103498924
61	2.099849199
62	2.096204965
63	2.092647814
64	2.08908662
65	2.085730665
66	2.082340239
67	2.079035355
68	2.07620433
69	2.073000327
70	2.070111357
71	2.066696772
72	2.063759545
73	2.061312941
74	2.058204555
75	2.055316196
76	2.052450676
77	2.050206928
78	2.047167772
79	2.044489033
80	2.041804865
81	2.039100045
82	2.036788294
83	2.034632649
84	2.03259758
85	2.030334926
86	2.027511166
87	2.024794958
88	2.022340467
89	2.019927653
90	2.017387683
91	2.015414182
92	2.013129225
93	2.01085612
94	2.008705906
95	2.006700915
96	2.004404583
97	2.00245124
98	2.000274395
99	1.99826424
