iter	Passed	Remaining
0	154	15266
1	157	7736
2	161	5219
3	165	3962
4	168	3209
5	172	2708
6	176	2348
7	180	2075
8	184	1863
9	188	1693
10	192	1553
11	195	1436
12	199	1335
13	203	1248
14	207	1176
15	211	1110
16	215	1051
17	218	996
18	222	950
19	226	906
20	230	866
21	233	829
22	237	796
23	242	766
24	245	737
25	249	710
26	253	685
27	257	662
28	261	639
29	264	617
30	268	598
31	272	580
32	276	561
33	280	544
34	284	528
35	288	513
36	292	497
37	296	483
38	299	469
39	303	455
40	307	442
41	311	429
42	315	417
43	318	405
44	322	394
45	326	383
46	330	372
47	334	362
48	338	352
49	342	342
50	346	333
51	359	332
52	363	322
53	368	313
54	371	304
55	375	295
56	380	286
57	384	278
58	388	269
59	391	261
60	396	253
61	400	245
62	403	237
63	407	229
64	411	221
65	415	213
66	419	206
67	422	199
68	426	191
69	430	184
70	434	177
71	438	170
72	442	163
73	446	156
74	450	150
75	454	143
76	458	137
77	462	130
78	466	123
79	469	117
80	473	111
81	477	104
82	481	98
83	485	92
84	488	86
85	492	80
86	496	74
87	500	68
88	504	62
89	508	56
90	512	50
91	516	44
92	519	39
93	523	33
94	527	27
95	531	22
96	535	16
97	539	11
98	543	5
99	547	0
