epoch,step,train_loss
1,49,nan
2,99,nan
3,149,nan
4,199,nan
5,249,nan
6,299,nan
8,349,nan
9,399,nan
10,449,nan
11,499,nan
12,549,nan
13,599,nan
15,649,nan
16,699,nan
17,749,nan
18,799,nan
19,849,nan
20,899,nan
22,949,nan
23,999,nan
24,1049,nan
25,1099,nan
26,1149,nan
27,1199,nan
29,1249,nan
30,1299,nan
31,1349,nan
32,1399,nan
33,1449,nan
34,1499,nan
36,1549,nan
37,1599,nan
38,1649,nan
39,1699,nan
40,1749,nan
41,1799,nan
43,1849,nan
44,1899,nan
45,1949,nan
46,1999,nan
47,2049,nan
48,2099,nan
49,2149,nan
51,2199,nan
52,2249,nan
53,2299,nan
54,2349,nan
55,2399,nan
56,2449,nan
58,2499,nan
59,2549,nan
60,2599,nan
61,2649,nan
62,2699,nan
63,2749,nan
65,2799,nan
66,2849,nan
67,2899,nan
68,2949,nan
69,2999,nan
70,3049,nan
72,3099,nan
73,3149,nan
74,3199,nan
75,3249,nan
76,3299,nan
77,3349,nan
79,3399,nan
80,3449,nan
81,3499,nan
82,3549,nan
83,3599,nan
84,3649,nan
86,3699,nan
87,3749,nan
88,3799,nan
89,3849,nan
90,3899,nan
91,3949,nan
93,3999,nan
94,4049,nan
95,4099,nan
96,4149,nan
97,4199,nan
98,4249,nan
99,4299,nan
101,4349,nan
102,4399,nan
103,4449,nan
104,4499,nan
105,4549,nan
106,4599,nan
108,4649,nan
109,4699,nan
110,4749,nan
111,4799,nan
112,4849,nan
113,4899,nan
115,4949,nan
116,4999,nan
117,5049,nan
118,5099,nan
119,5149,nan
120,5199,nan
122,5249,nan
123,5299,nan
124,5349,nan
125,5399,nan
126,5449,nan
127,5499,nan
129,5549,nan
130,5599,nan
131,5649,nan
132,5699,nan
133,5749,nan
134,5799,nan
136,5849,nan
137,5899,nan
138,5949,nan
139,5999,nan
140,6049,nan
141,6099,nan
143,6149,nan
144,6199,nan
145,6249,nan
146,6299,nan
147,6349,nan
148,6399,nan
149,6449,nan
151,6499,nan
152,6549,nan
153,6599,nan
154,6649,nan
155,6699,nan
156,6749,nan
158,6799,nan
159,6849,nan
160,6899,nan
161,6949,nan
162,6999,nan
163,7049,nan
165,7099,nan
166,7149,nan
167,7199,nan
168,7249,nan
169,7299,nan
170,7349,nan
172,7399,nan
173,7449,nan
174,7499,nan
175,7549,nan
176,7599,nan
177,7649,nan
179,7699,nan
180,7749,nan
181,7799,nan
182,7849,nan
183,7899,nan
184,7949,nan
186,7999,nan
187,8049,nan
188,8099,nan
189,8149,nan
190,8199,nan
191,8249,nan
193,8299,nan
194,8349,nan
195,8399,nan
196,8449,nan
197,8499,nan
198,8549,nan
199,8599,nan
201,8649,nan
202,8699,nan
203,8749,nan
204,8799,nan
205,8849,nan
206,8899,nan
208,8949,nan
209,8999,nan
210,9049,nan
211,9099,nan
212,9149,nan
213,9199,nan
215,9249,nan
216,9299,nan
217,9349,nan
218,9399,nan
219,9449,nan
220,9499,nan
222,9549,nan
223,9599,nan
224,9649,nan
225,9699,nan
226,9749,nan
227,9799,nan
229,9849,nan
230,9899,nan
231,9949,nan
232,9999,nan
233,10049,nan
234,10099,nan
236,10149,nan
237,10199,nan
238,10249,nan
239,10299,nan
240,10349,nan
241,10399,nan
243,10449,nan
244,10499,nan
245,10549,nan
246,10599,nan
247,10649,nan
248,10699,nan
249,10749,nan
251,10799,nan
252,10849,nan
253,10899,nan
254,10949,nan
255,10999,nan
256,11049,nan
258,11099,nan
259,11149,nan
260,11199,nan
261,11249,nan
262,11299,nan
263,11349,nan
265,11399,nan
266,11449,nan
